King Floyd
Bobby Goldsboro
Matthews' Southern Comfort
Judy Collins
Dave Edmunds
Bee Gees
Fortunes
Who
Denise Lasalle
Jackson 5
Buoys
Partridge Family
Isaac Hayes
Gladys Knight and The Pips
Neil Diamond
Paul Stookey
Wilson Pickett
Doors
Richie Havens
Wadsworth Mansion
Brenda and The Tabulations
Fifth Dimension
Doors
Perry Como
Roberta Flack
Gilbert O'Sullivan
Don McLean
Nilsson
Sammy Davis Jr.
Joe Tex
Bill Withers
Mac Davis
Melanie
Wayne Newton
Al Green
Looking Glass
Chi-Lites
Gallery
Chuck Berry
Luther Ingram
Neil Young
Stylistics
Staple Singers
Michael Jackson
Robert John
Billy Preston
War
Hollies
Mouth and MacNeal
Neil Diamond
America
Hot Butter
Main Ingredient
Climax
5th Dimension
Moody Blues
Raspberries
Cornelius Brothers and Sister Rose
O'Jays
Osmonds
Jonathan Edwards
Mel and Tim
Badfinger
Elton John
Michael Jackson
Daniel Boone
Dennis Coffey and The Detroit Guitar Band
Cat Stevens
Arlo Guthrie
Rick Nelson
Johnny Nash
Elvis Presley
Betty Wright
Argent
Chakachas
Bread
Dramatics
Al Green
Donna Fargo
T. Rex
Paul Simon
Roberta Flack and Donny Hathaway
Al Green
Derek and The Dominos
Aretha Franklin
Cher
Three Dog Night
Dr. Hook and The Medicine Show
Carpenters
Nilsson
Donny Osmond
Jim Croce
Commander Cody and His Lost Planet Airmen
Sonny and Cher
Apollo 100
Carly Simon
Three Dog Night
Charlie Pride
Alice Cooper
Chicago
Joe Simon
Bill Withers
Sly and The Family Stone
Jimmy Castor Bunch
Redbone
Curtis Mayfield
Joe Simon
Jerry Butler and Brenda Lee Eager
Harry Chapin
Beverly Bremers
Bobby Vinton
Todd Rundgren
Sailcat
Godspell
Yes
Jackson Browne
New Seekers
Don Mclean
Detroit Emeralds
Rick Springfield
Hillside Singers
Love Unlimited
James Brown
Isley Bros.
Tony Orlando and Dawn
Jim Croce
Roberta Flack
Marvin Gaye
Paul McCartney and Wings
Kris Kristofferson
Elton John
Billy Preston
Carly Simon
Diana Ross
Vicki Lawrence
Clint Holmes
Stories
Helen Reddy
Billy Paul
Edgar Winter Group
Dobie Gray
Sweet
Stevie Wonder
Cher
Isley Bros.
Sylvia
Grand Funk Railroad
Dr. John
Skylark
Stevie Wonder
Paul Simon
Maureen McGovern
John Denver
Stealers Wheel
Three Dog Night
O'Jays
Barry White
Tony Orlando and Dawn
Eddie Kendricks
King Harvest
Anne Murray
"Bobby ""Boris"" Pickett and The Crypt Kickers"
Bloodstone
Seals and Crofts
Doobie Brothers
George Harrison
Sly and The Family Stone
Jermaine Jackson
Gladys Knight and The Pips
New York City
Spinners
Elton John
Gladys Knight and The Pips
Deep Purple
Dr. Hook and The Medicine Show
Charlie Rich
Loggins and Messina
Chicago
War
Wings
Hurricane Smith
Johnnie Taylor
Carpenters
Four Tops
Eric Weissberg and Steve Mandel
Stevie Wonder
Al Green
B.W. Stevenson
Curtis Mayfield
Gilbert O'Sullivan
Edward Bear
Steely Dan
Focus
Carpenters
Bette Midler
Gilbert O'Sullivan
Steely Dan
Paul Simon
Timmy Thomas
Tower Of Power
Bette Midler
Johnny Rivers
Allman Brothers
Temptations
Helen Reddy
Spinners
Donna Fargo
Ohio Players
Rolling Stones
Blue Ridge Rangers
Lobo
Stylistics
Jud Strunk
Deodato
Johnny Nash
Pink Floyd
War
War
Pointer Sisters
Edgar Winter Group
David Bowie
Albert Hammond
Donny Osmond
Temptations
Barbra Streisand
Terry Jacks
Love Unlimited Orchestra
Redbone
Jackson 5
Grand Funk Railroad
MFSB
Ray Stevens
Elton John
Mac Davis
Aretha Franklin
Kool and The Gang
Maria Muldaur
Stylistics
Al Wilson
Jim Stafford
David Essex
John Denver
Blue Magic
Blue Swede
Bo Donaldson and The Heywoods
Paul McCartney and Wings
Charlie Rich
Jim Croce
John Denver
Paul Anka
Olivia Newton-John
Gordon Lightfoot
Andy Kim
Eddie Kendricks
Ringo Starr
Olivia Newton-John
Cher
Gladys Knight and The Pips
Roberta Flack
Main Ingredient
Billy Preston
George McCrae
Carpenters
Steve Miller Band
Gladys Knight and The Pips
Three Dog Night
Hues Corporation
Brownsville Station
Stevie Wonder
Dionne Warwick and The Spinners
Paper Lace
Marvin Hamlisch
ABBA
Hollies
Steely Dan
Carly Simon
Joni Mitchell
Anne Murray
Barry White
Rufus
Helen Reddy
Righteous Brothers
Kool and The Gang
William Devaughn
Johnny Bristol
Mocedades
Bachman-Turner Overdrive
Golden Earring
Dave Loggins
Wet Willie
